team,points
ZWVGQJVLLXDUXDMQ,6
URCMQLGEVLSOSJER,6
OJMFNOGOJZZSNAMU,7
JYNVLGEITZLMCOUH,4
NJPMZMOHLHAJMPNE,7
VHZATLNHYUUJBKHR,2
FDXRXBFGIXIIUGGE,4
DALWUONEMNJSPUIM,4
QUNSJTMJXKUIGQLL,7
DNGOACKXELASKDJB,5
DMXCDAKFJJVDOSQZ,6
IEPPNXWOIPYLBBCE,2
UIZNMOXAQPGMVPFK,7
UVYMVMQXKETCEUKF,5
RFFAOXPQAMGKMOFN,6
XMKGZCHMMMTPSXPN,6
BDBCWEFGVNXBDMWJ,7
WOROTOCKYCIDYEVT,5
GVVIWXVKWPGIYNQO,6
HUORVXQKZFNMHGMT,4
MLBZXNBGVQYOEUDR,5
GQBGYCLYFTIFSCLR,4
EXXRIVDTBZZSEGWP,6
YZKEWFWNWRDVFCSK,5
YKZUXGODNANSSGLT,5
NSNKELWVPTYNSAVA,4
RHRHCDVRKONPCAOD,3
AFMQWUFAMZRRFZMF,2
MFAMGOTNSMRMNVVE,6
NKNOLYNQRKVIMJGC,5
PMRIBDIRBDYPMFVE,4
DRORYBFRCQBTNKHY,5
ZKUIWHQYOQLYURUK,3
FWYLHQASTKGCYXAN,6
JFXMBBOQQTDONNAN,5
MVZQYGWJKEBDEDCT,4
MZSJTOTRDTYQVRCZ,4
HHVKCSMUAKRHJRAT,4
IXJZBZCRRXANCIGR,3
EGSAHJOBBKOWFWII,3
JNSZBGTIEPQOJMBF,5
BZLOPZCQBZSCTTYV,5
UXSLOLKJYJDCMSPD,4
IAPQIUWISFMDUCFB,4
DFJAADAYUBEJVGSZ,4
QZGEEURUVHVXBJYT,4
NAWJRQWJKQPARCDR,3
HFGIOSWGOUPIIWOT,1
ESYRTNFWNQHMIZJX,3
IUHAHTEYVZWMZSGG,1
